psgc_code,class_code,source
1380100000,HUC,2024 POPCEN (PSA)
1380200000,HUC,2024 POPCEN (PSA)
1380300000,HUC,2024 POPCEN (PSA)
1380400000,HUC,2024 POPCEN (PSA)
1380500000,HUC,2024 POPCEN (PSA)
1380600000,HUC,2024 POPCEN (PSA)
1380700000,HUC,2024 POPCEN (PSA)
1380800000,HUC,2024 POPCEN (PSA)
1380900000,HUC,2024 POPCEN (PSA)
1381000000,HUC,2024 POPCEN (PSA)
1381100000,HUC,2024 POPCEN (PSA)
1381200000,HUC,2024 POPCEN (PSA)
1381300000,HUC,2024 POPCEN (PSA)
1381400000,HUC,2024 POPCEN (PSA)
1381500000,HUC,2024 POPCEN (PSA)
1381600000,HUC,2024 POPCEN (PSA)
1403213000,CC,2024 POPCEN (PSA)
1430300000,HUC,2024 POPCEN (PSA)
0102805000,CC,2024 POPCEN (PSA)
0102812000,CC,2024 POPCEN (PSA)
0102906000,CC,2024 POPCEN (PSA)
0102934000,CC,2024 POPCEN (PSA)
0103314000,CC,2024 POPCEN (PSA)
0105503000,CC,2024 POPCEN (PSA)
0105518000,ICC,2024 POPCEN (PSA)
0105532000,CC,2024 POPCEN (PSA)
0105546000,CC,2024 POPCEN (PSA)
0201529000,CC,2024 POPCEN (PSA)
0203108000,CC,2024 POPCEN (PSA)
0203114000,CC,2024 POPCEN (PSA)
0203135000,ICC,2024 POPCEN (PSA)
0300803000,CC,2024 POPCEN (PSA)
0301403000,CC,2024 POPCEN (PSA)
0301410000,CC,2024 POPCEN (PSA)
0301412000,CC,2024 POPCEN (PSA)
0301420000,CC,2024 POPCEN (PSA)
0304903000,CC,2024 POPCEN (PSA)
0304908000,CC,2024 POPCEN (PSA)
0304917000,CC,2024 POPCEN (PSA)
0304919000,CC,2024 POPCEN (PSA)
0304926000,CC,2024 POPCEN (PSA)
0305409000,CC,2024 POPCEN (PSA)
0305416000,CC,2024 POPCEN (PSA)
0306916000,CC,2024 POPCEN (PSA)
0330100000,HUC,2024 POPCEN (PSA)
0331400000,HUC,2024 POPCEN (PSA)
0401005000,CC,2024 POPCEN (PSA)
0401007000,CC,2024 POPCEN (PSA)
0401014000,CC,2024 POPCEN (PSA)
0401028000,CC,2024 POPCEN (PSA)
