psgc_code,bracket_code,source,effective_year
1380100000,1st,DOF DO 074-2024,2024
1380200000,1st,DOF DO 074-2024,2024
1380300000,1st,DOF DO 074-2024,2024
1380400000,1st,DOF DO 074-2024,2024
1380500000,1st,DOF DO 074-2024,2024
1380600000,1st,DOF DO 074-2024,2024
1380700000,1st,DOF DO 074-2024,2024
1380800000,1st,DOF DO 074-2024,2024
1380900000,1st,DOF DO 074-2024,2024
1381000000,1st,DOF DO 074-2024,2024
1381100000,1st,DOF DO 074-2024,2024
1381200000,1st,DOF DO 074-2024,2024
1381300000,1st,DOF DO 074-2024,2024
1381400000,1st,DOF DO 074-2024,2024
1381500000,1st,DOF DO 074-2024,2024
1381600000,1st,DOF DO 074-2024,2024
1381701000,1st,DOF DO 074-2024,2024
1400100000,1st,DOF DO 074-2024,2024
1400101000,1st,DOF DO 074-2024,2024
1400102000,3rd,DOF DO 074-2024,2024
1400103000,3rd,DOF DO 074-2024,2024
1400104000,4th,DOF DO 074-2024,2024
1400105000,4th,DOF DO 074-2024,2024
1400106000,3rd,DOF DO 074-2024,2024
1400107000,3rd,DOF DO 074-2024,2024
1400108000,4th,DOF DO 074-2024,2024
1400109000,2nd,DOF DO 074-2024,2024
1400110000,3rd,DOF DO 074-2024,2024
1400111000,4th,DOF DO 074-2024,2024
1400112000,4th,DOF DO 074-2024,2024
1400113000,3rd,DOF DO 074-2024,2024
1400114000,1st,DOF DO 074-2024,2024
1400115000,3rd,DOF DO 074-2024,2024
1400116000,3rd,DOF DO 074-2024,2024
1400117000,4th,DOF DO 074-2024,2024
1400118000,3rd,DOF DO 074-2024,2024
1400119000,1st,DOF DO 074-2024,2024
1400120000,4th,DOF DO 074-2024,2024
1400121000,2nd,DOF DO 074-2024,2024
1400122000,4th,DOF DO 074-2024,2024
1400123000,3rd,DOF DO 074-2024,2024
1400124000,1st,DOF DO 074-2024,2024
1400125000,1st,DOF DO 074-2024,2024
1400126000,2nd,DOF DO 074-2024,2024
1400127000,1st,DOF DO 074-2024,2024
1401100000,1st,DOF DO 074-2024,2024
1401101000,3rd,DOF DO 074-2024,2024
1401103000,3rd,DOF DO 074-2024,2024
1401104000,2nd,DOF DO 074-2024,2024
