psgc_code,name,level_code,parent_psgc,correspondence_code,status,old_names
0100000000,Region I (Ilocos Region),Reg,,010000000,,
0200000000,Region II (Cagayan Valley),Reg,,020000000,,
0300000000,Region III (Central Luzon),Reg,,030000000,,
0400000000,Region IV-A (CALABARZON),Reg,,040000000,,
0500000000,Region V (Bicol Region),Reg,,050000000,,
0600000000,Region VI (Western Visayas),Reg,,060000000,,
0700000000,Region VII (Central Visayas),Reg,,070000000,,
0800000000,Region VIII (Eastern Visayas),Reg,,080000000,,
0900000000,Region IX (Zamboanga Peninsula),Reg,,090000000,,
1000000000,Region X (Northern Mindanao),Reg,,100000000,,
1100000000,Region XI (Davao Region),Reg,,110000000,,
1200000000,Region XII (SOCCSKSARGEN),Reg,,120000000,,
1300000000,National Capital Region (NCR),Reg,,130000000,,
1400000000,Cordillera Administrative Region (CAR),Reg,,140000000,,
1600000000,Region XIII (Caraga),Reg,,160000000,,
1700000000,MIMAROPA Region,Reg,,170000000,,
1800000000,Negros Island Region (NIR),Reg,,,,
1900000000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Reg,,150000000,,
0102800000,Ilocos Norte,Prov,0100000000,012800000,,
0102900000,Ilocos Sur,Prov,0100000000,012900000,,
0103300000,La Union,Prov,0100000000,013300000,,
0105500000,Pangasinan,Prov,0100000000,015500000,,
0200900000,Batanes,Prov,0200000000,020900000,,
0201500000,Cagayan,Prov,0200000000,021500000,,
0203100000,Isabela,Prov,0200000000,023100000,,
0205000000,Nueva Vizcaya,Prov,0200000000,025000000,,
0205700000,Quirino,Prov,0200000000,025700000,,
0300800000,Bataan,Prov,0300000000,030800000,,
0301400000,Bulacan,Prov,0300000000,031400000,,
0304900000,Nueva Ecija,Prov,0300000000,034900000,,
0305400000,Pampanga,Prov,0300000000,035400000,,
0306900000,Tarlac,Prov,0300000000,036900000,,
0307100000,Zambales,Prov,0300000000,037100000,,
0307700000,Aurora,Prov,0300000000,037700000,,
0401000000,Batangas,Prov,0400000000,041000000,,
0402100000,Cavite,Prov,0400000000,042100000,,
0403400000,Laguna,Prov,0400000000,043400000,,
0405600000,Quezon,Prov,0400000000,045600000,,
0405800000,Rizal,Prov,0400000000,045800000,,
0500500000,Albay,Prov,0500000000,050500000,,
0501600000,Camarines Norte,Prov,0500000000,051600000,,
0501700000,Camarines Sur,Prov,0500000000,051700000,,
0502000000,Catanduanes,Prov,0500000000,052000000,,
0504100000,Masbate,Prov,0500000000,054100000,,
0506200000,Sorsogon,Prov,0500000000,056200000,,
0600400000,Aklan,Prov,0600000000,060400000,,
