psgc_code,reference_year,population,source
1300000000,2024,14001751,2024 POPCEN (PSA)
1380100000,2024,1712945,2024 POPCEN (PSA)
1380100001,2024,2356,2024 POPCEN (PSA)
1380100002,2024,5226,2024 POPCEN (PSA)
1380100003,2024,2544,2024 POPCEN (PSA)
1380100004,2024,2934,2024 POPCEN (PSA)
1380100005,2024,2893,2024 POPCEN (PSA)
1380100006,2024,1262,2024 POPCEN (PSA)
1380100007,2024,2642,2024 POPCEN (PSA)
1380100008,2024,23262,2024 POPCEN (PSA)
1380100009,2024,1842,2024 POPCEN (PSA)
1380100010,2024,1517,2024 POPCEN (PSA)
1380100011,2024,1889,2024 POPCEN (PSA)
1380100012,2024,35887,2024 POPCEN (PSA)
1380100013,2024,1290,2024 POPCEN (PSA)
1380100014,2024,21553,2024 POPCEN (PSA)
1380100015,2024,1452,2024 POPCEN (PSA)
1380100016,2024,3721,2024 POPCEN (PSA)
1380100017,2024,3553,2024 POPCEN (PSA)
1380100018,2024,11293,2024 POPCEN (PSA)
1380100019,2024,3742,2024 POPCEN (PSA)
1380100020,2024,8055,2024 POPCEN (PSA)
1380100021,2024,2896,2024 POPCEN (PSA)
1380100022,2024,5747,2024 POPCEN (PSA)
1380100023,2024,2841,2024 POPCEN (PSA)
1380100024,2024,2596,2024 POPCEN (PSA)
1380100025,2024,1651,2024 POPCEN (PSA)
1380100026,2024,3800,2024 POPCEN (PSA)
1380100027,2024,4280,2024 POPCEN (PSA)
1380100028,2024,34247,2024 POPCEN (PSA)
1380100029,2024,1628,2024 POPCEN (PSA)
1380100030,2024,3525,2024 POPCEN (PSA)
1380100031,2024,3809,2024 POPCEN (PSA)
1380100032,2024,3143,2024 POPCEN (PSA)
1380100033,2024,5676,2024 POPCEN (PSA)
1380100034,2024,6594,2024 POPCEN (PSA)
1380100035,2024,23716,2024 POPCEN (PSA)
1380100036,2024,4236,2024 POPCEN (PSA)
1380100037,2024,2955,2024 POPCEN (PSA)
1380100038,2024,3904,2024 POPCEN (PSA)
1380100039,2024,915,2024 POPCEN (PSA)
1380100040,2024,1000,2024 POPCEN (PSA)
1380100041,2024,938,2024 POPCEN (PSA)
1380100042,2024,743,2024 POPCEN (PSA)
1380100043,2024,3659,2024 POPCEN (PSA)
1380100044,2024,556,2024 POPCEN (PSA)
1380100045,2024,324,2024 POPCEN (PSA)
1380100046,2024,1479,2024 POPCEN (PSA)
1380100047,2024,570,2024 POPCEN (PSA)
1380100048,2024,848,2024 POPCEN (PSA)
1380100049,2024,4252,2024 POPCEN (PSA)
1380100050,2024,1042,2024 POPCEN (PSA)
1380100051,2024,777,2024 POPCEN (PSA)
1380100052,2024,1314,2024 POPCEN (PSA)
1380100053,2024,911,2024 POPCEN (PSA)
1380100054,2024,595,2024 POPCEN (PSA)
1380100055,2024,1497,2024 POPCEN (PSA)
1380100056,2024,2560,2024 POPCEN (PSA)
1380100057,2024,772,2024 POPCEN (PSA)
1380100058,2024,512,2024 POPCEN (PSA)
1380100059,2024,3990,2024 POPCEN (PSA)
1380100060,2024,1860,2024 POPCEN (PSA)
1380100061,2024,1018,2024 POPCEN (PSA)
1380100062,2024,264,2024 POPCEN (PSA)
1380100063,2024,3101,2024 POPCEN (PSA)
1380100064,2024,1628,2024 POPCEN (PSA)
1380100065,2024,1346,2024 POPCEN (PSA)
1380100066,2024,2348,2024 POPCEN (PSA)
1380100067,2024,2409,2024 POPCEN (PSA)
1380100068,2024,1149,2024 POPCEN (PSA)
1380100069,2024,3297,2024 POPCEN (PSA)
1380100070,2024,4544,2024 POPCEN (PSA)
1380100071,2024,939,2024 POPCEN (PSA)
1380100072,2024,129,2024 POPCEN (PSA)
1380100073,2024,17965,2024 POPCEN (PSA)
1380100074,2024,3950,2024 POPCEN (PSA)
1380100075,2024,2237,2024 POPCEN (PSA)
