psgc_code,tag_code,source,reference_year
1380100001,U,2020 CPH,2020
1380100002,U,2020 CPH,2020
1380100003,U,2020 CPH,2020
1380100004,U,2020 CPH,2020
1380100005,U,2020 CPH,2020
1380100006,U,2020 CPH,2020
1380100007,U,2020 CPH,2020
1380100008,U,2020 CPH,2020
1380100009,U,2020 CPH,2020
1380100010,U,2020 CPH,2020
1380100011,U,2020 CPH,2020
1380100012,U,2020 CPH,2020
1380100013,U,2020 CPH,2020
1380100014,U,2020 CPH,2020
1380100015,U,2020 CPH,2020
1380100016,U,2020 CPH,2020
1380100017,U,2020 CPH,2020
1380100018,U,2020 CPH,2020
1380100019,U,2020 CPH,2020
1380100020,U,2020 CPH,2020
1380100021,U,2020 CPH,2020
1380100022,U,2020 CPH,2020
1380100023,U,2020 CPH,2020
1380100024,U,2020 CPH,2020
1380100025,U,2020 CPH,2020
1380100026,U,2020 CPH,2020
1380100027,U,2020 CPH,2020
1380100028,U,2020 CPH,2020
1380100029,U,2020 CPH,2020
1380100030,U,2020 CPH,2020
1380100031,U,2020 CPH,2020
1380100032,U,2020 CPH,2020
1380100033,U,2020 CPH,2020
1380100034,U,2020 CPH,2020
1380100035,U,2020 CPH,2020
1380100036,U,2020 CPH,2020
1380100037,U,2020 CPH,2020
1380100038,U,2020 CPH,2020
1380100039,U,2020 CPH,2020
1380100040,U,2020 CPH,2020
1380100041,U,2020 CPH,2020
1380100042,U,2020 CPH,2020
1380100043,U,2020 CPH,2020
1380100044,U,2020 CPH,2020
1380100045,U,2020 CPH,2020
1380100046,U,2020 CPH,2020
1380100047,U,2020 CPH,2020
1380100048,U,2020 CPH,2020
1380100049,U,2020 CPH,2020
1380100050,U,2020 CPH,2020
1380100051,U,2020 CPH,2020
1380100052,U,2020 CPH,2020
1380100053,U,2020 CPH,2020
1380100054,U,2020 CPH,2020
1380100055,U,2020 CPH,2020
1380100056,U,2020 CPH,2020
1380100057,U,2020 CPH,2020
1380100058,U,2020 CPH,2020
1380100059,U,2020 CPH,2020
1380100060,U,2020 CPH,2020
1380100061,U,2020 CPH,2020
1380100062,U,2020 CPH,2020
1380100063,U,2020 CPH,2020
1380100064,U,2020 CPH,2020
1380100065,U,2020 CPH,2020
1380100066,U,2020 CPH,2020
1380100067,U,2020 CPH,2020
1380100068,U,2020 CPH,2020
1380100069,U,2020 CPH,2020
1380100070,U,2020 CPH,2020
1380100071,U,2020 CPH,2020
1380100072,U,2020 CPH,2020
1380100073,U,2020 CPH,2020
1380100074,U,2020 CPH,2020
1380100075,U,2020 CPH,2020
1380100076,U,2020 CPH,2020
1380100077,U,2020 CPH,2020
1380100078,U,2020 CPH,2020
1380100079,U,2020 CPH,2020
1380100080,U,2020 CPH,2020
1380100081,U,2020 CPH,2020
1380100082,U,2020 CPH,2020
1380100083,U,2020 CPH,2020
1380100084,U,2020 CPH,2020
1380100085,U,2020 CPH,2020
1380100086,U,2020 CPH,2020
1380100087,U,2020 CPH,2020
1380100088,U,2020 CPH,2020
1380100089,U,2020 CPH,2020
1380100090,U,2020 CPH,2020
1380100091,U,2020 CPH,2020
1380100092,U,2020 CPH,2020
1380100093,U,2020 CPH,2020
1380100094,U,2020 CPH,2020
1380100095,U,2020 CPH,2020
1380100096,U,2020 CPH,2020
1380100097,U,2020 CPH,2020
1380100098,U,2020 CPH,2020
1380100099,U,2020 CPH,2020
1380100100,U,2020 CPH,2020
1380100101,U,2020 CPH,2020
1380100102,U,2020 CPH,2020
1380100103,U,2020 CPH,2020
1380100104,U,2020 CPH,2020
1380100105,U,2020 CPH,2020
1380100106,U,2020 CPH,2020
1380100107,U,2020 CPH,2020
1380100108,U,2020 CPH,2020
1380100109,U,2020 CPH,2020
1380100110,U,2020 CPH,2020
1380100111,U,2020 CPH,2020
1380100112,U,2020 CPH,2020
1380100113,U,2020 CPH,2020
1380100114,U,2020 CPH,2020
1380100115,U,2020 CPH,2020
1380100116,U,2020 CPH,2020
1380100117,U,2020 CPH,2020
1380100118,U,2020 CPH,2020
1380100119,U,2020 CPH,2020
